iter	TotalF1:average=Macro	MultiClass
0	0.5849597805	2.050721354
1	0.5888184407	1.876802049
2	0.5766420098	1.741932021
3	0.5821004418	1.631889302
4	0.5877545913	1.53621193
5	0.5899848491	1.452799222
6	0.5973010278	1.379866549
7	0.5961738522	1.316859305
8	0.6179894929	1.25823847
9	0.6176138417	1.20710155
10	0.6198400655	1.158769538
11	0.6205501973	1.114798498
12	0.6218707167	1.075728948
13	0.6241303109	1.040284831
14	0.6251525351	1.007937362
15	0.6281251531	0.977450192
16	0.6302457277	0.9477945383
17	0.6307229738	0.9217331444
18	0.6331725237	0.8957227891
19	0.635321557	0.8728278354
20	0.6374447335	0.8492471981
21	0.6390255798	0.8279522702
22	0.6449830487	0.8067174815
23	0.6482333806	0.7876871135
24	0.6501652895	0.7685203504
25	0.6513394591	0.7500400392
26	0.6536534873	0.7337370327
27	0.6540787503	0.717654322
28	0.6577806666	0.7028189378
29	0.6579941922	0.6902896526
30	0.6603997468	0.6762282852
31	0.6616657245	0.6640041097
32	0.6625761585	0.6518830644
33	0.6651359372	0.6399385985
34	0.6687774622	0.628085761
35	0.6707112778	0.6174771316
36	0.6716812071	0.6070128976
37	0.6753011482	0.59634598
38	0.6761116929	0.5869727116
39	0.6774678915	0.5770695226
40	0.6811924795	0.5677284406
41	0.6820063669	0.5590161359
42	0.6855426661	0.5510593693
43	0.6872330285	0.5426369844
44	0.6885195661	0.5344465854
45	0.6921780184	0.5257454086
46	0.6945230385	0.5186097267
47	0.700142665	0.5104770024
48	0.7003980251	0.5042073298
49	0.7017236373	0.4973418301
50	0.7046600363	0.4914028271
51	0.7069879893	0.48527275
52	0.7108293355	0.4790322092
53	0.7112425414	0.4744080601
54	0.7123150342	0.4697946963
55	0.7169245671	0.4649785058
56	0.7187840285	0.4597252035
57	0.7237824717	0.453910311
58	0.7255180497	0.4486339178
59	0.727691897	0.4431078072
60	0.7360318124	0.4374193623
61	0.7418283752	0.4317762115
62	0.7456808919	0.4274864667
63	0.7507156107	0.4234757327
64	0.7550646129	0.4187893324
65	0.7580037227	0.4139309437
66	0.7600838889	0.4094362545
67	0.7612802466	0.4063255131
68	0.7625598261	0.4030448344
69	0.763260679	0.399099703
70	0.7664134434	0.3942599643
71	0.7688705685	0.3909108156
72	0.7711978943	0.3869008766
73	0.7728174316	0.3835244259
74	0.7751687343	0.3805091676
75	0.7774065899	0.3774150116
76	0.7782551868	0.3739694074
77	0.7803346013	0.3717502508
78	0.7874921878	0.3683537998
79	0.7886613681	0.3647512131
80	0.7897262385	0.3615229262
81	0.7905600137	0.3581719706
82	0.7913792249	0.3561470178
83	0.7979029822	0.3531508969
84	0.8066834812	0.3500490608
85	0.810313472	0.3467122844
86	0.8137764264	0.3442408024
87	0.8163434746	0.3412769724
88	0.8186986392	0.3388746008
89	0.8196592032	0.336328889
90	0.8227040005	0.334187079
91	0.8257144001	0.3321115862
92	0.8282239573	0.329901917
93	0.8313668785	0.3276006444
94	0.8339319499	0.3255263836
95	0.8354077886	0.3228334701
96	0.8356536479	0.3211863683
97	0.8411041544	0.3190217291
98	0.8429135023	0.3168469952
99	0.8441250561	0.3146481395
100	0.8479891141	0.3116962797
101	0.8483035104	0.3098921717
102	0.8496201212	0.3080500656
103	0.8499889159	0.3057287905
104	0.8517587833	0.3040928878
105	0.8517289404	0.3025997443
106	0.8529732192	0.300679407
107	0.8591917583	0.2989149308
108	0.8597323961	0.2973251566
109	0.8602659207	0.2959756291
110	0.8619362236	0.2949426614
111	0.8624443372	0.2926598904
112	0.8630948826	0.2911015795
113	0.8658681388	0.2891882686
114	0.86690987	0.2876786584
115	0.8668992325	0.2858777825
116	0.8669044162	0.2846571794
117	0.8685596078	0.2831643903
118	0.8694474137	0.2815731514
119	0.8720286881	0.2797629421
120	0.8734838273	0.2779261569
121	0.8736358103	0.2765571151
122	0.8738985122	0.2755690214
123	0.8760516602	0.2737890933
124	0.8770809341	0.2723312152
125	0.8788751107	0.2702355244
126	0.8788823448	0.2693346641
127	0.8800019614	0.2673736701
128	0.8807926172	0.2662632781
129	0.8813076394	0.2647911369
130	0.8828947447	0.2636598515
131	0.8839914455	0.2617094524
132	0.8862624541	0.2603485075
133	0.887332036	0.2589354671
134	0.8888641162	0.2574289835
135	0.8893399326	0.2563209322
136	0.8897803456	0.2549381879
137	0.8900171633	0.2540119865
138	0.8916557127	0.2523698394
139	0.8920656464	0.2515319038
140	0.8929770558	0.2500686143
141	0.8935173659	0.2484099668
142	0.8943811601	0.2471567916
143	0.8959563643	0.2459616391
144	0.8972253271	0.2446139633
145	0.8987907483	0.2431526993
146	0.8990667947	0.2421033468
147	0.9009634038	0.2405201474
148	0.900901536	0.2394226089
149	0.9018543415	0.2383315154
150	0.9021231144	0.237534764
151	0.9025858495	0.2366964954
152	0.9026827823	0.2357484596
153	0.9028946508	0.2349974431
154	0.9036701428	0.233985971
155	0.9035944698	0.2329639162
