iter	Passed	Remaining
0	276	137993
1	398	99113
2	533	88364
3	656	81418
4	778	77059
5	908	74790
6	1037	73034
7	1180	72606
8	1323	72205
9	1464	71740
10	1607	71454
11	1748	71108
12	1883	70573
13	2028	70430
14	2171	70208
15	2299	69559
16	2432	69109
17	2584	69220
18	2717	68788
19	2871	68907
20	3002	68474
21	3134	68105
22	3260	67621
23	3396	67354
24	3530	67088
25	3664	66800
26	3791	66419
27	3924	66158
28	4048	65752
29	4173	65384
30	4323	65406
31	4448	65057
32	4582	64848
33	4708	64527
34	4855	64507
35	4980	64198
36	5141	64343
37	5292	64350
38	5433	64227
39	5581	64183
40	5717	64008
41	5865	63961
42	6012	63897
43	6158	63824
44	6294	63642
45	6425	63417
46	6627	63880
47	6784	63886
48	6928	63769
49	7068	63617
50	7196	63358
51	7324	63106
52	7460	62920
53	7626	62991
54	7794	63061
55	7966	63159
56	8163	63444
57	8397	63994
58	8578	64120
59	8727	64000
60	8855	63730
61	8988	63497
62	9121	63269
63	9253	63040
64	9370	62708
65	9502	62483
66	9659	62429
67	9787	62181
68	9931	62034
69	10058	61787
70	10184	61535
71	10313	61307
72	10439	61062
73	10557	60779
74	10681	60527
75	10807	60292
76	10929	60043
77	11050	59785
78	11168	59515
79	11287	59260
80	11410	59022
81	11528	58765
82	11652	58544
83	11776	58323
84	11900	58103
85	12021	57868
86	12146	57659
87	12272	57459
88	12398	57253
89	12533	57096
90	12665	56924
91	12796	56748
92	12936	56612
93	13059	56406
94	13182	56200
95	13309	56011
96	13436	55823
97	13561	55630
98	13689	55447
99	13808	55233
100	13925	55013
101	14052	54832
102	14171	54624
103	14291	54419
104	14418	54239
105	14551	54088
106	14678	53911
107	14800	53720
108	14921	53526
109	15045	53342
110	15163	53140
111	15290	52972
112	15408	52771
113	15537	52608
114	15655	52410
115	15773	52214
116	15891	52022
117	16010	51831
118	16128	51638
119	16251	51463
120	16379	51303
121	16502	51131
122	16624	50955
123	16744	50772
124	16862	50588
125	16983	50411
126	17106	50241
127	17232	50081
128	17353	49908
129	17476	49739
130	17603	49584
131	17718	49397
132	17837	49220
133	17955	49042
134	18079	48881
135	18203	48721
136	18345	48608
